;Kingdom;Phylum;Class;Order;Family;Genus
ASV_6378;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
ASV_6379;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;LWQ8;NA
ASV_6380;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA
ASV_6381;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_6382;Bacteria;Actinobacteriota;Actinobacteria;NA;NA;NA
ASV_6383;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;Enhygromyxa
ASV_6384;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_6385;Bacteria;Myxococcota;Polyangia;Polyangiales;Phaselicystidaceae;Phaselicystis
ASV_6386;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA
ASV_6387;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_6388;Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Fimbriiglobus
ASV_6389;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA
ASV_6390;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;NA;NA
ASV_6391;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum
ASV_6392;Bacteria;Bacteroidota;Bacteroidia;NA;NA;NA
ASV_6393;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA
ASV_6394;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;NA;NA
ASV_6395;Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA
ASV_6396;Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria;NA;NA
ASV_6397;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys
ASV_6398;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA
ASV_6399;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;NA
ASV_6400;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae Ga6A1 group
ASV_6401;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Simkaniaceae;NA
ASV_6402;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group
ASV_6403;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;NA
ASV_6404;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;NA
ASV_6405;Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;NA
ASV_6406;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;alphaI cluster
